experiment_group,optimizer,learning_rate,momentum,beta1,final_train_loss,final_val_loss,final_train_acc,final_val_acc,test_accuracy
optimizer,sgd,0.01,,,0.032189,0.068832,0.993655,0.980600,0.977400
optimizer,momentum,0.01,0.9,,0.000802,0.086877,1.000000,0.981400,0.978100
optimizer,adam,0.001,,0.9,0.000022,0.163699,1.000000,0.982200,0.980300
momentum,momentum,0.01,0.5,,0.011604,0.070081,0.999145,0.981400,0.978400
momentum,momentum,0.01,0.9,,0.000802,0.086877,1.000000,0.981400,0.978100
momentum,momentum,0.01,0.99,,0.000026,0.122486,1.000000,0.982800,0.980800
adam,adam,0.001,,0.5,0.000284,0.171362,1.000000,0.980400,0.980000
adam,adam,0.001,,0.9,0.000022,0.163699,1.000000,0.982200,0.980300
adam,adam,0.001,,0.99,0.000809,0.189305,0.999527,0.980400,0.978400
learning_rate,sgd,0.001,,,0.196363,0.160266,0.944945,0.959000,0.945700
learning_rate,sgd,0.01,,,0.032189,0.068832,0.993655,0.980600,0.977400
learning_rate,sgd,0.1,,,0.000794,0.080320,1.000000,0.984600,0.979000
